system:index,NDVI,region,year
0_0,0.475924994,Tundra,1982
0_1,0.637767955,Eurasia,1982
0_2,0.4419,North America,1982
1_0,0.471707431,Tundra,1983
1_1,0.637740394,Eurasia,1983
1_2,0.446273353,North America,1983
2_0,0.489146397,Tundra,1984
2_1,0.652034958,Eurasia,1984
2_2,0.446291959,North America,1984
3_0,0.477265973,Tundra,1985
3_1,0.644980159,Eurasia,1985
3_2,0.443829761,North America,1985
4_0,0.484621596,Tundra,1986
4_1,0.663923016,Eurasia,1986
4_2,0.438758589,North America,1986
5_0,0.488922365,Tundra,1987
5_1,0.666023172,Eurasia,1987
5_2,0.449988793,North America,1987
6_0,0.491604881,Tundra,1988
6_1,0.666188926,Eurasia,1988
6_2,0.462670825,North America,1988
7_0,0.480352689,Tundra,1989
7_1,0.638790089,Eurasia,1989
7_2,0.468556707,North America,1989
8_0,0.507298827,Tundra,1990
8_1,0.676362008,Eurasia,1990
8_2,0.464493096,North America,1990
9_0,0.503637449,Tundra,1991
9_1,0.682648369,Eurasia,1991
9_2,0.461996895,North America,1991
10_0,0.472034979,Tundra,1992
10_1,0.654495789,Eurasia,1992
10_2,0.437101801,North America,1992
11_0,0.482462935,Tundra,1993
11_1,0.658337942,Eurasia,1993
11_2,0.445488463,North America,1993
12_0,0.493364743,Tundra,1994
12_1,0.674139237,Eurasia,1994
12_2,0.451640461,North America,1994
13_0,0.494305816,Tundra,1995
13_1,0.671065973,Eurasia,1995
13_2,0.449582931,North America,1995
14_0,0.492274822,Tundra,1996
14_1,0.673089314,Eurasia,1996
14_2,0.449897116,North America,1996
15_0,0.508169217,Tundra,1997
15_1,0.684359291,Eurasia,1997
15_2,0.466081771,North America,1997
16_0,0.511322011,Tundra,1998
16_1,0.686887666,Eurasia,1998
16_2,0.477797169,North America,1998
17_0,0.519593333,Tundra,1999
17_1,0.688086477,Eurasia,1999
17_2,0.477975494,North America,1999
18_0,0.523564312,Tundra,2000
18_1,0.694287205,Eurasia,2000
18_2,0.478857492,North America,2000
19_0,0.51222378,Tundra,2001
19_1,0.672174832,Eurasia,2001
19_2,0.477165707,North America,2001
20_0,0.497943438,Tundra,2002
20_1,0.660529685,Eurasia,2002
20_2,0.473876613,North America,2002
21_0,0.505593916,Tundra,2003
21_1,0.665461138,Eurasia,2003
21_2,0.475081745,North America,2003
22_0,0.507752443,Tundra,2004
22_1,0.68409184,Eurasia,2004
22_2,0.479801858,North America,2004
23_0,0.502473629,Tundra,2005
23_1,0.677589304,Eurasia,2005
23_2,0.469308569,North America,2005
24_0,0.512992682,Tundra,2006
24_1,0.683188086,Eurasia,2006
24_2,0.483462582,North America,2006
25_0,0.522041629,Tundra,2007
25_1,0.68603565,Eurasia,2007
25_2,0.49563951,North America,2007
26_0,0.514640214,Tundra,2008
26_1,0.68875742,Eurasia,2008
26_2,0.480377982,North America,2008
27_0,0.492732275,Tundra,2009
27_1,0.66984466,Eurasia,2009
27_2,0.461889173,North America,2009
28_0,0.51275528,Tundra,2010
28_1,0.666902139,Eurasia,2010
28_2,0.49421189,North America,2010
29_0,0.527451785,Tundra,2011
29_1,0.682423729,Eurasia,2011
29_2,0.504325436,North America,2011
30_0,0.541225256,Tundra,2012
30_1,0.69569472,Eurasia,2012
30_2,0.507406347,North America,2012
31_0,0.527623162,Tundra,2013
31_1,0.676202238,Eurasia,2013
31_2,0.50127683,North America,2013
32_0,0.5006817,Tundra,2014
32_1,0.669929254,Eurasia,2014
32_2,0.478085613,North America,2014
33_0,0.505274736,Tundra,2015
33_1,0.667779211,Eurasia,2015
33_2,0.484396679,North America,2015
