,sub_id,site_id,site_name,sub_name,cover,name,year,trtmt,plot,gfnarrowwalker,gfnarrowarft,sub_lat,sub_long,sub_ele
1,i36.02,i36,QHI,QHI:HE,69,Eriophorum vaginatum,1999,CTL,1,SEDGE,GRAMINOID,"69,58","138,86",76
2,i36.02,i36,QHI,QHI:HE,5,Salix phlebophylla,1999,CTL,1,SDECI,DSHRUB,"69,58","138,86",76
3,i36.02,i36,QHI,QHI:HE,33,XXXlitter ,1999,CTL,1,LITTER,LITTER,"69,58","138,86",76
4,i36.02,i36,QHI,QHI:HE,5,Salix reticulata,1999,CTL,1,SHRUBU,SHRUBU,"69,58","138,86",76
5,i36.02,i36,QHI,QHI:HE,5,Thamnolia subuliformis,1999,CTL,1,LFOLI,LICHEN,"69,58","138,86",76
6,i36.02,i36,QHI,QHI:HE,2,XXXLUZSP:QHI ,1999,CTL,1,RUSH,GRAMINOID,"69,58","138,86",76
7,i36.02,i36,QHI,QHI:HE,17,XXXothermoss ,1999,CTL,1,MOSSU,MOSS,"69,58","138,86",76
8,i36.02,i36,QHI,QHI:HE,10,Salix pulchra,1999,CTL,1,SDECI,DSHRUB,"69,58","138,86",76
9,i36.02,i36,QHI,QHI:HE,3,Cetraria cucculata,1999,CTL,1,LFOLI,LICHEN,"69,58","138,86",76
10,i36.02,i36,QHI,QHI:HE,1,Senecio atropurpureus,1999,CTL,1,FORB,FORBSV,"69,58","138,86",76
11,i36.02,i36,QHI,QHI:HE,2,Cetraria islandica,1999,CTL,1,LFOLI,LICHEN,"69,58","138,86",76
12,i36.02,i36,QHI,QHI:HE,5,XXXotherlichen:QHI ,1999,CTL,1,LICHENU,LICHEN,"69,58","138,86",76
13,i36.02,i36,QHI,QHI:HE,7,XXXbareground ,1999,CTL,1,SOIL,SOIL,"69,58","138,86",76
14,i36.02,i36,QHI,QHI:HE,2,Saussurea angustifolia,1999,CTL,1,FORB,FORBSV,"69,58","138,86",76
15,i36.02,i36,QHI,QHI:HE,1,Cladina mitis,1999,CTL,1,LFOLI,LICHEN,"69,58","138,86",76
16,i36.02,i36,QHI,QHI:HE,2,Polygonum bistorta,1999,CTL,1,FORB,FORBSV,"69,58","138,86",76
17,i36.02,i36,QHI,QHI:HE,1,XXXothergram ,1999,CTL,1,GRAMU,GRAMINOID,"69,58","138,86",76
18,i36.02,i36,QHI,QHI:HE,3,Festuca baffinensis,1999,CTL,1,SEDGE,GRAMINOID,"69,58","138,86",76
19,i36.02,i36,QHI,QHI:HE,1,Pedicularis lanata,1999,CTL,1,FORB,FORBSV,"69,58","138,86",76
20,i36.02,i36,QHI,QHI:HE,3,Dryas integrifolia,1999,CTL,1,SEVER,ESHRUB,"69,58","138,86",76
21,i36.02,i36,QHI,QHI:HE,1.1,Dactylina arctica,1999,CTL,2,LFOLI,LICHEN,"69,58","138,86",76
22,i36.02,i36,QHI,QHI:HE,3.3,Poa arctica,1999,CTL,2,GRASS,GRAMINOID,"69,58","138,86",76
23,i36.02,i36,QHI,QHI:HE,25.6,Salix pulchra,1999,CTL,2,SDECI,DSHRUB,"69,58","138,86",76
24,i36.02,i36,QHI,QHI:HE,42.2,XXXlitter ,1999,CTL,2,LITTER,LITTER,"69,58","138,86",76
25,i36.02,i36,QHI,QHI:HE,10,Salix reticulata,1999,CTL,2,SHRUBU,SHRUBU,"69,58","138,86",76
