year,disc,ring.width_mm
1930,H10B,0.093
1931,H10B,0.041
1932,H10B,0.075
1933,H10B,0.15
1934,H10B,0.104
1935,H10B,0.089
1936,H10B,0.154
1937,H10B,0.124
1938,H10B,0.092
1939,H10B,0.168
1940,H10B,0.131
1941,H10B,0.099
1942,H10B,0.094
1943,H10B,0.078
1944,H10B,0.096
1945,H10B,0.059
1946,H10B,0.07
1947,H10B,0.093
1948,H10B,0.075
1949,H10B,0.088
1950,H10B,0.049
1951,H10B,0.066
1952,H10B,0.099
1953,H10B,0.122
1954,H10B,0.128
1955,H10B,0.12
1956,H10B,0.078
1957,H10B,0.087
1958,H10B,0.112
1959,H10B,0.092
1960,H10B,0.092
1961,H10B,0.09
1962,H10B,0.08
1963,H10B,0.074
1964,H10B,0.057
1965,H10B,0.074
1966,H10B,0.074
1967,H10B,0.077
1968,H10B,0.017
1969,H10B,0.119
1970,H10B,0.155
1971,H10B,0.216
1972,H10B,0.427
1973,H10B,0.139
1974,H10B,0.366
1975,H10B,0.275
1976,H10B,0.033
1977,H10B,0.067
1978,H10B,0.085
1979,H10B,0.249
1980,H10B,0.234
1981,H10B,0.377
1982,H10B,0.131
1983,H10B,0.034
1984,H10B,0.067
1985,H10B,0.304
1986,H10B,0.316
1987,H10B,0.33
1988,H10B,0.447
1989,H10B,0.297
1990,H10B,0.342
1991,H10B,0.304
1992,H10B,0.307
1993,H10B,0.263
1994,H10B,0.41
1995,H10B,0.426
1996,H10B,0.475
1997,H10B,0.251
1998,H10B,0.297
1999,H10B,0.21
2000,H10B,0.142
2001,H10B,0.164
2002,H10B,0.297
2003,H10B,0.224
2004,H10B,0.132
1941,H13B,0
1942,H13B,0.054
1943,H13B,0.087
1944,H13B,0.064
1945,H13B,0.081
1946,H13B,0.172
1947,H13B,0.363
1948,H13B,0.348
1949,H13B,0.148
1950,H13B,0.146
1951,H13B,0.052
1952,H13B,0.044
1953,H13B,0.039
1954,H13B,0.018
1955,H13B,0.082
1956,H13B,0.102
1957,H13B,0.118
1958,H13B,0.102
1959,H13B,0.073
1960,H13B,0.031
1961,H13B,0.103
1962,H13B,0.095
1963,H13B,0.087
1964,H13B,0.156
1965,H13B,0.146
1966,H13B,0.139
1967,H13B,0.183
1968,H13B,0.18
1969,H13B,0.198
1970,H13B,0.292
1971,H13B,0.125
1972,H13B,0.217
1973,H13B,0.265
1974,H13B,0.057
1975,H13B,0.162
1976,H13B,0.161
1977,H13B,0.11
1978,H13B,0.072
1979,H13B,0.087
1980,H13B,0.034
1981,H13B,0.054
1982,H13B,0.105
1983,H13B,0.186
1984,H13B,0.196
1985,H13B,0.073
1986,H13B,0.167
1987,H13B,0.337
1988,H13B,0.248
1989,H13B,0.207
1990,H13B,0.419
1991,H13B,0.392
1992,H13B,0.251
1993,H13B,0.39
1994,H13B,0.334
1995,H13B,0.326
1996,H13B,0.336
1997,H13B,0.428
1998,H13B,0.294
1999,H13B,0.183
2000,H13B,0.246
2001,H13B,0.265
2002,H13B,0.269
2003,H13B,0.268
2004,H13B,0.149
1954,H17B,0.082
1955,H17B,0.108
1956,H17B,0.109
1957,H17B,0.096
1958,H17B,0.088
1959,H17B,0.144
1960,H17B,0.153
1961,H17B,0.169
1962,H17B,0.179
1963,H17B,0.154
1964,H17B,0.1
1965,H17B,0.076
1966,H17B,0.062
1967,H17B,0.096
1968,H17B,0.103
1969,H17B,0.104
1970,H17B,0.072
1971,H17B,0.077
1972,H17B,0.167
1973,H17B,0.14
1974,H17B,0.182
1975,H17B,0.12
1976,H17B,0.207
1977,H17B,0.214
1978,H17B,0.248
1979,H17B,0.194
1980,H17B,0.238
1981,H17B,0.31
1982,H17B,0.111
1983,H17B,0.043
1984,H17B,0.217
1985,H17B,0.439
1986,H17B,0.152
1987,H17B,0.618
1988,H17B,0.412
1989,H17B,0.358
1990,H17B,0.34
1991,H17B,0.334
1992,H17B,0.354
1993,H17B,0.416
1994,H17B,0.388
1995,H17B,0.398
1996,H17B,0.371
1997,H17B,0.382
1998,H17B,0.468
1999,H17B,0.456
2000,H17B,0.447
2001,H17B,0.407
2002,H17B,0.26
2003,H17B,0.103
2004,H17B,0.139
2005,H17B,0.142
2006,H17B,0.152
1944,H19B,0.138
1945,H19B,0.206
1946,H19B,0.165
1947,H19B,0.181
1948,H19B,0.167
1949,H19B,0.182
1950,H19B,0.196
1951,H19B,0.194
1952,H19B,0.094
1953,H19B,0.156
1954,H19B,0.153
1955,H19B,0.188
1956,H19B,0.199
1957,H19B,0.171
1958,H19B,0.173
1959,H19B,0.176
1960,H19B,0.143
1961,H19B,0.103
1962,H19B,0.197
1963,H19B,0.194
1964,H19B,0.315
1965,H19B,0.35
1966,H19B,0.225
1967,H19B,0.354
1968,H19B,0.332
1969,H19B,0.247
1970,H19B,0.276
1971,H19B,0.316
1972,H19B,0.346
1973,H19B,0.377
1974,H19B,0.153
1975,H19B,0.291
1976,H19B,0.236
1977,H19B,0.224
1978,H19B,0.243
1979,H19B,0.157
1980,H19B,0.197
1981,H19B,0.205
1982,H19B,0.127
1983,H19B,0.018
1984,H19B,0.139
1985,H19B,0.209
1986,H19B,0.132
1987,H19B,0.085
1988,H19B,0.207
1989,H19B,0.21
1990,H19B,0.19
1991,H19B,0.192
1992,H19B,0.192
1993,H19B,0.178
1994,H19B,0.242
1995,H19B,0.151
1996,H19B,0.086
1997,H19B,0.136
1998,H19B,0.214
1999,H19B,0.238
2000,H19B,0.062
2001,H19B,0.115
2002,H19B,0.192
2003,H19B,0.092
2004,H19B,0.037
2005,H19B,0.097
2006,H19B,0.082
1928,H21B,0.1
1929,H21B,0.107
1930,H21B,0.133
1931,H21B,0.122
1932,H21B,0.148
1933,H21B,0.144
1934,H21B,0.163
1935,H21B,0.151
1936,H21B,0.19
1937,H21B,0.183
1938,H21B,0.151
1939,H21B,0.128
1940,H21B,0.065
1941,H21B,0.072
1942,H21B,0.101
1943,H21B,0.062
1944,H21B,0.16
1945,H21B,0.037
1946,H21B,0.126
1947,H21B,0.043
1948,H21B,0.055
1949,H21B,0.076
1950,H21B,0.079
1951,H21B,0.108
1952,H21B,0.111
1953,H21B,0.032
1954,H21B,0.139
1955,H21B,0.196
1956,H21B,0.182
1957,H21B,0.021
1958,H21B,0.069
1959,H21B,0.032
1960,H21B,0.049
1961,H21B,0.133
1962,H21B,0.099
1963,H21B,0.069
1964,H21B,0.155
1965,H21B,0.103
1966,H21B,0.048
1967,H21B,0.138
1968,H21B,0.185
1969,H21B,0.137
1970,H21B,0.211
1971,H21B,0.035
1972,H21B,0.12
1973,H21B,0.163
1974,H21B,0.013
1975,H21B,0.05
1976,H21B,0.14
1977,H21B,0.192
1978,H21B,0.229
1979,H21B,0.343
1980,H21B,0.328
1981,H21B,0.023
1982,H21B,0.159
1983,H21B,0.346
1984,H21B,0.203
1985,H21B,0.113
1986,H21B,0.17
1987,H21B,0.079
1988,H21B,0.209
1989,H21B,0.305
1990,H21B,0.256
1991,H21B,0.205
1992,H21B,0.3
1993,H21B,0.446
1994,H21B,0.289
1995,H21B,0.376
1996,H21B,0.359
1997,H21B,0.065
1998,H21B,0.251
1999,H21B,0.182
2000,H21B,0.115
2001,H21B,0.333
2002,H21B,0.205
2003,H21B,0.067
2004,H21B,0.081
2005,H21B,0.039
2006,H21B,0.266
1944,H5B,0.063
1945,H5B,0.068
1946,H5B,0.068
1947,H5B,0.076
1948,H5B,0.082
1949,H5B,0.096
1950,H5B,0.084
1951,H5B,0.038
1952,H5B,0.056
1953,H5B,0.081
1954,H5B,0.107
1955,H5B,0.13
1956,H5B,0.148
1957,H5B,0.134
1958,H5B,0.091
1959,H5B,0.086
1960,H5B,0.039
1961,H5B,0.098
1962,H5B,0.12
1963,H5B,0.167
1964,H5B,0.119
1965,H5B,0.132
1966,H5B,0.225
1967,H5B,0.196
1968,H5B,0.228
1969,H5B,0.263
1970,H5B,0.211
1971,H5B,0.189
1972,H5B,0.168
1973,H5B,0.084
1974,H5B,0.182
1975,H5B,0.162
1976,H5B,0.069
1977,H5B,0.042
1978,H5B,0.069
1979,H5B,0.174
1980,H5B,0.097
1981,H5B,0.058
1982,H5B,0.245
1983,H5B,0.148
1984,H5B,0.119
1985,H5B,0.37
1986,H5B,0.103
