year,disc,ring.width_mm
1987,HS1,0.202
1988,HS1,0.268
1989,HS1,0.366
1990,HS1,0.253
1991,HS1,0.268
1992,HS1,0.19
1993,HS1,0.319
1994,HS1,0.356
1995,HS1,0.382
1996,HS1,0.633
1997,HS1,0.578
1998,HS1,0.471
1999,HS1,0.357
2000,HS1,0.397
2001,HS1,0.684
2002,HS1,0.814
2003,HS1,0.615
2004,HS1,0.406
1990,HS2,0.354
1991,HS2,0.343
1992,HS2,0.429
1993,HS2,0.396
1994,HS2,0.323
1995,HS2,0.202
1996,HS2,0.261
1997,HS2,0.544
1998,HS2,0.769
1999,HS2,0.654
2000,HS2,0.379
2001,HS2,0.528
2002,HS2,0.552
2003,HS2,0.783
2004,HS2,0.544
1987,HS3,0.342
1988,HS3,0.318
1989,HS3,0.252
1990,HS3,0.417
1991,HS3,0.378
1992,HS3,0.35
1993,HS3,0.515
1994,HS3,0.378
1995,HS3,0.257
1996,HS3,0.345
1997,HS3,0.781
1998,HS3,0.909
1999,HS3,0.747
2000,HS3,0.359
2001,HS3,0.602
2002,HS3,0.456
2003,HS3,0.543
2004,HS3,0.411
1978,HS4,0.257
1979,HS4,0.292
1980,HS4,0.378
1981,HS4,0.178
1982,HS4,0.081
1983,HS4,0.107
1984,HS4,0.463
1985,HS4,0.243
1986,HS4,0.185
1987,HS4,0.334
1988,HS4,0.211
1989,HS4,0.155
1990,HS4,0.215
1991,HS4,0.31
1992,HS4,0.281
1993,HS4,0.392
1994,HS4,0.333
1995,HS4,0.164
1996,HS4,0.309
1997,HS4,0.467
1998,HS4,0.626
1999,HS4,0.447
2000,HS4,0.292
2001,HS4,0.382
2002,HS4,0.293
2003,HS4,0.352
2004,HS4,0.183
1987,HS5,0.117
1988,HS5,0.403
1989,HS5,0.407
1990,HS5,0.46
1991,HS5,0.579
1992,HS5,0.531
1993,HS5,0.535
1994,HS5,0.396
1995,HS5,0.291
1996,HS5,0.298
1997,HS5,0.312
1998,HS5,0.379
1999,HS5,0.36
2000,HS5,0.263
2001,HS5,0.356
2002,HS5,0.328
2003,HS5,0.307
2004,HS5,0.382
1977,L11S,0.388
1978,L11S,0.463
1979,L11S,0.305
1980,L11S,0.122
1981,L11S,0.048
1982,L11S,0.101
1983,L11S,0.106
1984,L11S,0.145
1985,L11S,0.114
1986,L11S,0.052
1987,L11S,0.123
1988,L11S,0.105
1989,L11S,0.092
1990,L11S,0.15
1991,L11S,0.148
1992,L11S,0.132
1993,L11S,0.247
1994,L11S,0.298
1995,L11S,0.397
1996,L11S,0.348
1997,L11S,0.641
1998,L11S,0.684
1999,L11S,0.481
2000,L11S,0.336
2001,L11S,0.343
2002,L11S,0.374
2003,L11S,0.287
2004,L11S,0.332
2005,L11S,0.181
2006,L11S,0.407
2007,L11S,0.549
2008,L11S,0.349
2009,L11S,0.462
2010,L11S,0.393
1979,L13S,0.273
1980,L13S,0.192
1981,L13S,0.126
1982,L13S,0.177
1983,L13S,0.218
1984,L13S,0.265
1985,L13S,0.354
1986,L13S,0.24
1987,L13S,0.462
1988,L13S,0.438
1989,L13S,0.374
1990,L13S,0.383
1991,L13S,0.293
1992,L13S,0.18
1993,L13S,0.145
1994,L13S,0.184
1995,L13S,0.27
1996,L13S,0.091
1997,L13S,0.185
1998,L13S,0.528
1999,L13S,0.374
