site,DayOfYear,DetailedQA,EVI,NDVI,SummaryQA,date
QHI,56.13811189,9276.756993,-771.5769231,-553.3968531,2.687062937,2000-02-18T00:00:00
Kanger,58.54493984,18504.39561,361.7735315,245.0417551,2.363765039,2000-02-18T00:00:00
QHI,72.86868687,20499.63492,-606.6414141,-379.8124098,2,2000-03-05T00:00:00
Kanger,69.91932059,19852.67445,57.96532201,36.47346072,2,2000-03-05T00:00:00
QHI,93.11688312,10213.28716,-516.2914863,-322.5526696,2.627705628,2000-03-21T00:00:00
Kanger,89.01273885,20215.07785,246.7487615,185.1259731,2,2000-03-21T00:00:00
QHI,102.2034632,20497,-597.4040404,-370.7186147,2,2000-04-06T00:00:00
Kanger,101,20493,-198.522293,-155.383581,2,2000-04-06T00:00:00
QHI,124.005772,14024.95382,-552.2849928,-353.3470418,2.404040404,2000-04-22T00:00:00
Kanger,120.5590941,2732.772824,1630.839349,2959.828733,1.372257608,2000-04-22T00:00:00
QHI,132.7070707,19227.34343,-819.6284271,-537.1991342,2,2000-05-08T00:00:00
Kanger,136.6369427,4079.780609,1735.029016,3513.77707,1.850672328,2000-05-08T00:00:00
QHI,155.6515152,18522.28066,-570.1313131,-395.6399711,2.12049062,2000-05-24T00:00:00
Kanger,156,2575.512385,1867.682236,3431.487615,1.096249115,2000-05-24T00:00:00
QHI,171.5851371,4573.508658,1746.792929,3073.882395,2.329004329,2000-06-09T00:00:00
Kanger,166.8280255,3852.944091,2403.864827,4367.43029,0.822363765,2000-06-09T00:00:00
QHI,189.7388167,8109.803752,3721.929293,5341.910534,0.123376623,2000-06-25T00:00:00
Kanger,185.3099788,3648.27247,3047.448691,4860.412597,1,2000-06-25T00:00:00
QHI,200.984127,4160,4156.251804,6301.388167,0,2000-07-11T00:00:00
Kanger,200,2344.225761,3259.599434,5655.715499,0.109695683,2000-07-11T00:00:00
QHI,213.5901876,4185.292208,4776.020202,6622.155844,0.123376623,2000-07-27T00:00:00
Kanger,212.0658174,2785.985846,2093.883227,3228.434536,3,2000-07-27T00:00:00
QHI,238.005772,4109.001443,4199.655844,4945.067821,3,2000-08-12T00:00:00
Kanger,236,2405.656759,2804.83581,5039.564756,1,2000-08-12T00:00:00
QHI,243,4233,3749.692641,6380.468254,1,2000-08-28T00:00:00
Kanger,256,4233,2265.100495,4332.343949,1,2000-08-28T00:00:00
QHI,263,20696.59596,774.7222222,585.0937951,2,2000-09-13T00:00:00
Kanger,270,4242.237084,2080.961783,4419.477707,1,2000-09-13T00:00:00
QHI,287.5382395,20552.91342,-318.0606061,-203.7518038,2,2000-09-29T00:00:00
Kanger,275.9469214,20497,174.2123142,112.2951168,2,2000-09-29T00:00:00
QHI,301.017316,4204.585859,-1196.199856,-907.3679654,2.994227994,2000-10-15T00:00:00
Kanger,291.0559094,20214.3673,-167.665959,-106.895966,2,2000-10-15T00:00:00
QHI,307,20761.66667,-1059,-656,2.666666667,2000-10-31T00:00:00
Kanger,309.3156405,39333.44444,-520.8796886,-394.5159236,2,2000-10-31T00:00:00
QHI,,,,,,2000-11-16T00:00:00
Kanger,,,,,,2000-11-16T00:00:00
