"","IndivUN","Year","Site","Plot","Indiv","rw","Sp","ptsep","ptoct","ptnov","ptdec","tjan","tfeb","tmar","tapr","tmay","tjun","tjul","taug","Ice","IceLag","nrw","cambial","L","keep"
"1","HB-275",1999,"Herschel Island","HB","275",1.6,"Salix richardsonii",4.3,-6,-15.1,-19.6,-28.8,-26.8,-25.5,-16.8,-2.6,6.4,8.2,11.1,0.052,0,2.83495814175826,18,22,"yes"
"2","HB-275",2002,"Herschel Island","HB","275",0.34,"Salix richardsonii",3.3,-9.4,-19.2,-23.5,-22.7,-28.3,-23.3,-17.2,-2.7,5.4,9.2,5.8,0.0399,0.1062,-0.652171063072834,21,22,"yes"
"3","HB-275",2003,"Herschel Island","HB","275",0.18,"Salix richardsonii",3.1,-7.4,-13.9,-17.8,-26.5,-25,-25.7,-13.7,-4.1,6,9.9,7.2,0.2574,0.0399,-1.09498112082916,22,22,"yes"
"4","HB-275",1991,"Herschel Island","HB","275",0.47,"Salix richardsonii",1.4,-8.8,-24.6,-28.3,-25.5,-28.3,-25.5,-14.8,0.7,7,7.5,5.1,0.3785,0.1537,-0.292387891145817,10,22,"yes"
"5","HB-275",2007,"Herschel Island","HB","275",0.76,"Salix richardsonii",3,-7.7,-20.8,-20.5,-25.1,-29.6,-29.4,-13.6,-2.7,7.8,11.8,9.2,0,0.0169,0.51020533853753,26,22,"yes"
"6","HB-275",2004,"Herschel Island","HB","275",0.29,"Salix richardsonii",1.6,-4.1,-18.1,-22.5,-29.2,-31.4,-28,-15.9,-3.7,7.5,11.3,9.1,0.1468,0.2574,-0.790549206121687,23,22,"yes"
"7","HB-275",1994,"Herschel Island","HB","275",0.81,"Salix richardsonii",1.9,-6.4,-18.6,-21.7,-30,-30,-24.1,-14.9,-0.9,5.9,13.1,10.5,0.1138,0,0.648583481586382,13,22,"yes"
"8","HB-275",2006,"Herschel Island","HB","275",0.555,"Salix richardsonii",2.6,-7.4,-22.8,-19.7,-25.2,-22.6,-27,-16.7,-2.1,7.4,10.8,8.9,0.0169,0.0387,-0.0571450479627668,25,22,"yes"
"9","HB-275",1998,"Herschel Island","HB","275",0.8275,"Salix richardsonii",3.4,-9.9,-14,-23.3,-31.3,-25.3,-17.3,-8.6,0.8,8,14.4,11.6,0,7e-04,0.697015831653481,17,22,"yes"
"10","HB-275",2000,"Herschel Island","HB","275",0.475,"Salix richardsonii",2.2,-9.9,-19.2,-27.1,-25.1,-24.9,-24.6,-16.8,-7.3,7.5,11.1,7.4,0.072,0.052,-0.278550076840931,19,22,"yes"
"11","HB-275",1996,"Herschel Island","HB","275",1.155,"Salix richardsonii",1.5,-9.5,-22.6,-24.6,-31.7,-25.2,-23.8,-18.2,-4.3,7.3,11.2,5.6,0.4155,0.0011,1.60339266862347,15,22,"yes"
"12","HB-275",1995,"Herschel Island","HB","275",1.1525,"Salix richardsonii",-0.6,-7.5,-22.2,-26.8,-25.7,-26.8,-26.1,-11.4,0.5,7.9,10.6,7.8,0.0011,0.1138,1.59647376147102,14,22,"yes"
"13","HB-275",1989,"Herschel Island","HB","275",0.295,"Salix richardsonii",1.1,-12.8,-29,-22.3,-32.5,-18.4,-22.3,-11.7,-4.3,7.1,13.1,11.5,0.0717,0.0766,-0.776711391816802,8,22,"yes"
"14","HB-275",1990,"Herschel Island","HB","275",0.3225,"Salix richardsonii",2.7,-9.1,-27.7,-25.6,-34,-33.5,-19.3,-9.1,-1.3,8.5,13,7.7,0.1537,0.0717,-0.700603413139932,9,22,"yes"
"15","HB-275",2008,"Herschel Island","HB","275",0.72,"Salix richardsonii",2,-9.4,-14.8,-22.1,-27.6,-28,-25.2,-13.9,-2.2,6.9,10.2,7,0.0191,0,0.399502824098447,27,22,"yes"
"16","HB-275",1988,"Herschel Island","HB","275",0.2,"Salix richardsonii",1.6,-6,-22,-23.8,-26.1,-24.8,-20.7,-13.6,-3.8,6.9,11.7,7.2,0.0766,0.0061,-1.03962986360962,7,22,"yes"
"17","HB-275",1987,"Herschel Island","HB","275",0.2225,"Salix richardsonii",4.2,-9.4,-22.4,-23.3,-25.2,-28.6,-23.2,-20.3,-5.4,7,11.9,9.1,0.0061,0.0962,-0.977359699237638,6,22,"yes"
"18","HB-275",2005,"Herschel Island","HB","275",0.5,"Salix richardsonii",1.8,-8.5,-17.3,-24.4,-24,-25.1,-21,-14.7,-1.5,5.2,9.3,8.4,0.0387,0.1468,-0.209361005316505,24,22,"yes"
"19","HB-275",1992,"Herschel Island","HB","275",0.49,"Salix richardsonii",2,-8.5,-23.6,-28.9,-29.3,-29.4,-19.7,-16,-4.3,7.1,10.9,9.7,0.2047,0.3785,-0.237036633926276,11,22,"yes"
"20","HB-275",1993,"Herschel Island","HB","275",0.7925,"Salix richardsonii",-2.8,-11.9,-18.5,-24.7,-24.4,-21.8,-20.8,-13.8,-2.6,6.9,11.9,7.4,0,0.2047,0.600151131519284,12,22,"yes"
"21","HB-275",2001,"Herschel Island","HB","275",0.195,"Salix richardsonii",2.1,-7.9,-17.5,-22.6,-23.5,-22.3,-24.4,-14.8,-6.7,6.4,9.5,8.2,0.1062,0.072,-1.05346767791451,20,22,"yes"
"22","HB-275",1997,"Herschel Island","HB","275",1.1775,"Salix richardsonii",-1.4,-14.3,-18.3,-21.9,-28.4,-26.3,-26.5,-14.3,-3.2,6.8,10.3,9.8,7e-04,0.4155,1.66566283299545,16,22,"yes"
"23","HB-276",2004,"Herschel Island","HB","276",0.19333333,"Salix richardsonii",1.6,-4.1,-18.1,-22.5,-29.2,-31.4,-28,-15.9,-3.7,7.5,11.3,9.1,0.1468,0.2574,-0.883922238885452,13,12,"yes"
"24","HB-276",1997,"Herschel Island","HB","276",0.57,"Salix richardsonii",-1.4,-14.3,-18.3,-21.9,-28.4,-26.3,-26.5,-14.3,-3.2,6.8,10.3,9.8,7e-04,0.4155,0.321625948163929,6,12,"yes"
"25","HB-276",1999,"Herschel Island","HB","276",0.27,"Salix richardsonii",4.3,-6,-15.1,-19.6,-28.8,-26.8,-25.5,-16.8,-2.6,6.4,8.2,11.1,0.052,0,-0.638545165767692,8,12,"yes"
"26","HB-276",2005,"Herschel Island","HB","276",0.22333333,"Salix richardsonii",1.8,-8.5,-17.3,-24.4,-24,-25.1,-21,-14.7,-1.5,5.2,9.3,8.4,0.0387,0.1468,-0.78790512749229,14,12,"yes"
"27","HB-276",2008,"Herschel Island","HB","276",0.29,"Salix richardsonii",2,-9.4,-14.8,-22.1,-27.6,-28,-25.2,-13.9,-2.2,6.9,10.2,7,0.0191,0,-0.574533758172251,17,12,"yes"
"28","HB-276",2001,"Herschel Island","HB","276",0.28333333,"Salix richardsonii",2.1,-7.9,-17.5,-22.6,-23.5,-22.3,-24.4,-14.8,-6.7,6.4,9.5,8.2,0.1062,0.072,-0.595870904705966,10,12,"yes"
"29","HB-276",2003,"Herschel Island","HB","276",0.37666667,"Salix richardsonii",3.1,-7.4,-13.9,-17.8,-26.5,-25,-25.7,-13.7,-4.1,6,9.9,7.2,0.2574,0.0399,-0.29715098125677,12,12,"yes"
"30","HB-276",2002,"Herschel Island","HB","276",0.26,"Salix richardsonii",3.3,-9.4,-19.2,-23.5,-22.7,-28.3,-23.3,-17.2,-2.7,5.4,9.2,5.8,0.0399,0.1062,-0.670550869565413,11,12,"yes"
"31","HB-276",2006,"Herschel Island","HB","276",0.18,"Salix richardsonii",2.6,-7.4,-22.8,-19.7,-25.2,-22.6,-27,-16.7,-2.1,7.4,10.8,8.9,0.0169,0.0387,-0.926596499947179,15,12,"yes"
"32","HB-276",1998,"Herschel Island","HB","276",0.41333333,"Salix richardsonii",3.4,-9.9,-14,-23.3,-31.3,-25.3,-17.3,-8.6,0.8,8,14.4,11.6,0,7e-04,-0.179796755335597,7,12,"yes"
"33","HB-276",2007,"Herschel Island","HB","276",0.265,"Salix richardsonii",3,-7.7,-20.8,-20.5,-25.1,-29.6,-29.4,-13.6,-2.7,7.8,11.8,9.2,0,0.0169,-0.654548017666553,16,12,"yes"
"34","HB-276",2000,"Herschel Island","HB","276",0.45333333,"Salix richardsonii",2.2,-9.9,-19.2,-27.1,-25.1,-24.9,-24.6,-16.8,-7.3,7.5,11.1,7.4,0.072,0.052,-0.0517739401447138,9,12,"yes"
"35","HB-277",2007,"Herschel Island","HB","277",0.44341105,"Salix richardsonii",3,-7.7,-20.8,-20.5,-25.1,-29.6,-29.4,-13.6,-2.7,7.8,11.8,9.2,0,0.0169,-1.0150415976789,10,6,"yes"
"36","HB-277",2006,"Herschel Island","HB","277",0.27276919,"Salix richardsonii",2.6,-7.4,-22.8,-19.7,-25.2,-22.6,-27,-16.7,-2.1,7.4,10.8,8.9,0.0169,0.0387,-1.34212657486594,9,6,"yes"
"37","HB-277",2003,"Herschel Island","HB","277",1.1923778,"Salix richardsonii",3.1,-7.4,-13.9,-17.8,-26.5,-25,-25.7,-13.7,-4.1,6,9.9,7.2,0.2574,0.0399,0.420571987039447,6,6,"yes"
"38","HB-277",2005,"Herschel Island","HB","277",0.20858431,"Salix richardsonii",1.8,-8.5,-17.3,-24.4,-24,-25.1,-21,-14.7,-1.5,5.2,9.3,8.4,0.0387,0.1468,-1.46515564880216,8,6,"yes"
"39","HB-277",2004,"Herschel Island","HB","277",0.65672165,"Salix richardsonii",1.6,-4.1,-18.1,-22.5,-29.2,-31.4,-28,-15.9,-3.7,7.5,11.3,9.1,0.1468,0.2574,-0.606169514740074,7,6,"yes"
"40","HB-277",2008,"Herschel Island","HB","277",0.81647324,"Salix richardsonii",2,-9.4,-14.8,-22.1,-27.6,-28,-25.2,-13.9,-2.2,6.9,10.2,7,0.0191,0,-0.299958921567072,11,6,"yes"
"41","HB-278",2003,"Herschel Island","HB","278",0.23908951,"Salix richardsonii",3.1,-7.4,-13.9,-17.8,-26.5,-25,-25.7,-13.7,-4.1,6,9.9,7.2,0.2574,0.0399,-0.538334793182726,13,13,"yes"
"42","HB-278",1999,"Herschel Island","HB","278",0.83780521,"Salix richardsonii",4.3,-6,-15.1,-19.6,-28.8,-26.8,-25.5,-16.8,-2.6,6.4,8.2,11.1,0.052,0,3.00242934707081,9,13,"yes"
"43","HB-278",1998,"Herschel Island","HB","278",0.31633316,"Salix richardsonii",3.4,-9.9,-14,-23.3,-31.3,-25.3,-17.3,-8.6,0.8,8,14.4,11.6,0,7e-04,-0.0815210734451361,8,13,"yes"
"44","HB-278",2002,"Herschel Island","HB","278",0.30893241,"Salix richardsonii",3.3,-9.4,-19.2,-23.5,-22.7,-28.3,-23.3,-17.2,-2.7,5.4,9.2,5.8,0.0399,0.1062,-0.125288608204925,12,13,"yes"
"45","HB-278",1997,"Herschel Island","HB","278",0.67831841,"Salix richardsonii",-1.4,-14.3,-18.3,-21.9,-28.4,-26.3,-26.5,-14.3,-3.2,6.8,10.3,9.8,7e-04,0.4155,2.05923520286549,7,13,"yes"
"46","HB-278",1996,"Herschel Island","HB","278",0.2581542,"Salix richardsonii",1.5,-9.5,-22.6,-24.6,-31.7,-25.2,-23.8,-18.2,-4.3,7.3,11.2,5.6,0.4155,0.0011,-0.425587506453732,6,13,"yes"
"47","HB-278",2005,"Herschel Island","HB","278",0.31775422,"Salix richardsonii",1.8,-8.5,-17.3,-24.4,-24,-25.1,-21,-14.7,-1.5,5.2,9.3,8.4,0.0387,0.1468,-0.0731170207551054,15,13,"yes"
"48","HB-278",2004,"Herschel Island","HB","278",0.207376,"Salix richardsonii",1.6,-4.1,-18.1,-22.5,-29.2,-31.4,-28,-15.9,-3.7,7.5,11.3,9.1,0.1468,0.2574,-0.725886345563216,14,13,"yes"
"49","HB-278",2008,"Herschel Island","HB","278",0.26635225,"Salix richardsonii",2,-9.4,-14.8,-22.1,-27.6,-28,-25.2,-13.9,-2.2,6.9,10.2,7,0.0191,0,-0.37710479343985,18,13,"yes"
"50","HB-278",2001,"Herschel Island","HB","278",0.24141104,"Salix richardsonii",2.1,-7.9,-17.5,-22.6,-23.5,-22.3,-24.4,-14.8,-6.7,6.4,9.5,8.2,0.1062,0.072,-0.524605421839161,11,13,"yes"
"51","HB-278",2000,"Herschel Island","HB","278",0.26302238,"Salix richardsonii",2.2,-9.9,-19.2,-27.1,-25.1,-24.9,-24.6,-16.8,-7.3,7.5,11.1,7.4,0.072,0.052,-0.396797419318387,10,13,"yes"
"52","HB-278",2006,"Herschel Island","HB","278",0.31645979,"Salix richardsonii",2.6,-7.4,-22.8,-19.7,-25.2,-22.6,-27,-16.7,-2.1,7.4,10.8,8.9,0.0169,0.0387,-0.0807721921930153,16,13,"yes"
"53","HB-278",2007,"Herschel Island","HB","278",0.31706011,"Salix richardsonii",3,-7.7,-20.8,-20.5,-25.1,-29.6,-29.4,-13.6,-2.7,7.8,11.8,9.2,0,0.0169,-0.07722194033111,17,13,"yes"
"54","HB-279",1995,"Herschel Island","HB","279",0.28,"Salix richardsonii",-0.6,-7.5,-22.2,-26.8,-25.7,-26.8,-26.1,-11.4,0.5,7.9,10.6,7.8,0.0011,0.1138,-0.613470242758392,11,19,"yes"
"55","HB-279",2005,"Herschel Island","HB","279",0.305,"Salix richardsonii",1.8,-8.5,-17.3,-24.4,-24,-25.1,-21,-14.7,-1.5,5.2,9.3,8.4,0.0387,0.1468,-0.515662763755454,21,19,"yes"
"56","HB-279",2001,"Herschel Island","HB","279",0.14,"Salix richardsonii",2.1,-7.9,-17.5,-22.6,-23.5,-22.3,-24.4,-14.8,-6.7,6.4,9.5,8.2,0.1062,0.072,-1.16119212517485,17,19,"yes"
"57","HB-279",2000,"Herschel Island","HB","279",0.2175,"Salix richardsonii",2.2,-9.9,-19.2,-27.1,-25.1,-24.9,-24.6,-16.8,-7.3,7.5,11.1,7.4,0.072,0.052,-0.85798894026574,16,19,"yes"
"58","HB-279",2002,"Herschel Island","HB","279",0.21,"Salix richardsonii",3.3,-9.4,-19.2,-23.5,-22.7,-28.3,-23.3,-17.2,-2.7,5.4,9.2,5.8,0.0399,0.1062,-0.887331183966622,18,19,"yes"
"59","HB-279",1996,"Herschel Island","HB","279",0.415,"Salix richardsonii",1.5,-9.5,-22.6,-24.6,-31.7,-25.2,-23.8,-18.2,-4.3,7.3,11.2,5.6,0.4155,0.0011,-0.085309856142522,12,19,"yes"
"60","HB-279",2004,"Herschel Island","HB","279",0.3675,"Salix richardsonii",1.6,-4.1,-18.1,-22.5,-29.2,-31.4,-28,-15.9,-3.7,7.5,11.3,9.1,0.1468,0.2574,-0.271144066248106,20,19,"yes"
"61","HB-279",1994,"Herschel Island","HB","279",0.4375,"Salix richardsonii",1.9,-6.4,-18.6,-21.7,-30,-30,-24.1,-14.9,-0.9,5.9,13.1,10.5,0.1138,0,0.00271687496012322,10,19,"yes"
"62","HB-279",1993,"Herschel Island","HB","279",0.31,"Salix richardsonii",-2.8,-11.9,-18.5,-24.7,-24.4,-21.8,-20.8,-13.8,-2.6,6.9,11.9,7.4,0,0.2047,-0.496101267954866,9,19,"yes"
"63","HB-279",1990,"Herschel Island","HB","279",0.375,"Salix richardsonii",2.7,-9.1,-27.7,-25.6,-34,-33.5,-19.3,-9.1,-1.3,8.5,13,7.7,0.1537,0.0717,-0.241801822547224,6,19,"yes"
"64","HB-279",2007,"Herschel Island","HB","279",0.3125,"Salix richardsonii",3,-7.7,-20.8,-20.5,-25.1,-29.6,-29.4,-13.6,-2.7,7.8,11.8,9.2,0,0.0169,-0.486320520054572,23,19,"yes"
"65","HB-279",1998,"Herschel Island","HB","279",0.23,"Salix richardsonii",3.4,-9.9,-14,-23.3,-31.3,-25.3,-17.3,-8.6,0.8,8,14.4,11.6,0,7e-04,-0.80908520076427,14,19,"yes"
"66","HB-279",1992,"Herschel Island","HB","279",1.2375,"Salix richardsonii",2,-8.5,-23.6,-28.9,-29.3,-29.4,-19.7,-16,-4.3,7.1,10.9,9.7,0.2047,0.3785,3.13255620305417,8,19,"yes"
"67","HB-279",1997,"Herschel Island","HB","279",0.5375,"Salix richardsonii",-1.4,-14.3,-18.3,-21.9,-28.4,-26.3,-26.5,-14.3,-3.2,6.8,10.3,9.8,7e-04,0.4155,0.393946790971879,13,19,"yes"
"68","HB-279",2008,"Herschel Island","HB","279",0.45,"Salix richardsonii",2,-9.4,-14.8,-22.1,-27.6,-28,-25.2,-13.9,-2.2,6.9,10.2,7,0.0191,0,0.0516206144615928,24,19,"yes"
"69","HB-279",2006,"Herschel Island","HB","279",0.6525,"Salix richardsonii",2.6,-7.4,-22.8,-19.7,-25.2,-22.6,-27,-16.7,-2.1,7.4,10.8,8.9,0.0169,0.0387,0.843861194385399,22,19,"yes"
"70","HB-279",1999,"Herschel Island","HB","279",0.9725,"Salix richardsonii",4.3,-6,-15.1,-19.6,-28.8,-26.8,-25.5,-16.8,-2.6,6.4,8.2,11.1,0.052,0,2.09579692562302,15,19,"yes"
"71","HB-279",1991,"Herschel Island","HB","279",0.705,"Salix richardsonii",1.4,-8.8,-24.6,-28.3,-25.5,-28.3,-25.5,-14.8,0.7,7,7.5,5.1,0.3785,0.1537,1.04925690029157,7,19,"yes"
"72","HB-279",2003,"Herschel Island","HB","279",0.36333333,"Salix richardsonii",3.1,-7.4,-13.9,-17.8,-26.5,-25,-25.7,-13.7,-4.1,6,9.9,7.2,0.2574,0.0399,-0.287445325789593,19,19,"yes"
"73","HB-280",1979,"Herschel Island","HB","280",0.1557346,"Salix richardsonii",4.2,-14.1,-15.1,-23.5,-20.3,-28.6,-28.6,-15.8,-1.2,6.4,12.8,11,0.003,0,-0.846352974330342,8,32,"yes"
"74","HB-280",1983,"Herschel Island","HB","280",0.20719692,"Salix richardsonii",2.3,-13.6,-27,-27.3,-31.9,-30.3,-27.5,-17.7,-8.3,7.5,9.6,8.5,0.2279,0,-0.247036233661797,12,32,"yes"
"75","HB-280",2006,"Herschel Island","HB","280",0.22855621,"Salix richardsonii",2.6,-7.4,-22.8,-19.7,-25.2,-22.6,-27,-16.7,-2.1,7.4,10.8,8.9,0.0169,0.0387,0.00170848025304817,35,32,"yes"
"76","HB-280",2007,"Herschel Island","HB","280",0.27960674,"Salix richardsonii",3,-7.7,-20.8,-20.5,-25.1,-29.6,-29.4,-13.6,-2.7,7.8,11.8,9.2,0,0.0169,0.596229622109882,36,32,"yes"
"77","HB-280",1982,"Herschel Island","HB","280",0.20359247,"Salix richardsonii",-0.5,-8.4,-20.4,-22.6,-31.1,-23.4,-25.6,-16.1,-5.6,6.6,11.8,6.6,0,0.0603,-0.289012717153073,11,32,"yes"
"78","HB-280",2003,"Herschel Island","HB","280",0.18180535,"Salix richardsonii",3.1,-7.4,-13.9,-17.8,-26.5,-25,-25.7,-13.7,-4.1,6,9.9,7.2,0.2574,0.0399,-0.542739827531199,32,32,"yes"
"79","HB-280",2005,"Herschel Island","HB","280",0.14607639,"Salix richardsonii",1.8,-8.5,-17.3,-24.4,-24,-25.1,-21,-14.7,-1.5,5.2,9.3,8.4,0.0387,0.1468,-0.958829965999049,34,32,"yes"
"80","HB-280",1994,"Herschel Island","HB","280",0.24633245,"Salix richardsonii",1.9,-6.4,-18.6,-21.7,-30,-30,-24.1,-14.9,-0.9,5.9,13.1,10.5,0.1138,0,0.208725929488563,23,32,"yes"
"81","HB-280",2000,"Herschel Island","HB","280",0.10737938,"Salix richardsonii",2.2,-9.9,-19.2,-27.1,-25.1,-24.9,-24.6,-16.8,-7.3,7.5,11.1,7.4,0.072,0.052,-1.40948523973755,29,32,"yes"
"82","HB-280",1992,"Herschel Island","HB","280",0.30615879,"Salix richardsonii",2,-8.5,-23.6,-28.9,-29.3,-29.4,-19.7,-16,-4.3,7.1,10.9,9.7,0.2047,0.3785,0.90544786303,21,32,"yes"
"83","HB-280",1986,"Herschel Island","HB","280",0.17612594,"Salix richardsonii",1.1,-11.8,-18.8,-21.3,-30.3,-23.6,-26.6,-20.1,-5.5,5.7,9.9,6.7,0.0962,0.384,-0.608880753360434,15,32,"yes"
"84","HB-280",2001,"Herschel Island","HB","280",0.1677833,"Salix richardsonii",2.1,-7.9,-17.5,-22.6,-23.5,-22.3,-24.4,-14.8,-6.7,6.4,9.5,8.2,0.1062,0.072,-0.70603696033616,30,32,"yes"
"85","HB-280",1995,"Herschel Island","HB","280",0.26033845,"Salix richardsonii",-0.6,-7.5,-22.2,-26.8,-25.7,-26.8,-26.1,-11.4,0.5,7.9,10.6,7.8,0.0011,0.1138,0.371836148184565,24,32,"yes"
"86","HB-280",1990,"Herschel Island","HB","280",0.24474414,"Salix richardsonii",2.7,-9.1,-27.7,-25.6,-34,-33.5,-19.3,-9.1,-1.3,8.5,13,7.7,0.1537,0.0717,0.190228885974565,19,32,"yes"
"87","HB-280",1988,"Herschel Island","HB","280",0.28517385,"Salix richardsonii",1.6,-6,-22,-23.8,-26.1,-24.8,-20.7,-13.6,-3.8,6.9,11.7,7.2,0.0766,0.0061,0.661062731463351,17,32,"yes"
"88","HB-280",1981,"Herschel Island","HB","280",0.15501264,"Salix richardsonii",-2.3,-7,-20.5,-27.5,-17.1,-26.2,-22.9,-15.3,-0.3,6.4,10.1,5.4,0.0603,0.1173,-0.854760731969194,10,32,"yes"
"89","HB-280",1980,"Herschel Island","HB","280",0.15032793,"Salix richardsonii",3.2,-6.5,-12,-26.6,-29,-22.5,-23.9,-18.8,-5.1,8.5,8.6,7.2,0.1173,0.003,-0.909317641338561,9,32,"yes"
"90","HB-280",1998,"Herschel Island","HB","280",0.22428863,"Salix richardsonii",3.4,-9.9,-14,-23.3,-31.3,-25.3,-17.3,-8.6,0.8,8,14.4,11.6,0,7e-04,-0.04799064205901,27,32,"yes"
"91","HB-280",1984,"Herschel Island","HB","280",0.21888196,"Salix richardsonii",-1.4,-14.3,-17.2,-20.4,-27,-34.2,-27.1,-18.6,-3,7.6,9.3,6.5,0.2095,0.2279,-0.110955309067229,13,32,"yes"
"92","HB-280",2004,"Herschel Island","HB","280",0.24715067,"Salix richardsonii",1.6,-4.1,-18.1,-22.5,-29.2,-31.4,-28,-15.9,-3.7,7.5,11.3,9.1,0.1468,0.2574,0.21825470595161,33,32,"yes"
"93","HB-280",1993,"Herschel Island","HB","280",0.23129965,"Salix richardsonii",-2.8,-11.9,-18.5,-24.7,-24.4,-21.8,-20.8,-13.8,-2.6,6.9,11.9,7.4,0,0.2047,0.0336578661147758,22,32,"yes"
"94","HB-280",2008,"Herschel Island","HB","280",0.44697291,"Salix richardsonii",2,-9.4,-14.8,-22.1,-27.6,-28,-25.2,-13.9,-2.2,6.9,10.2,7,0.0191,0,2.54533233459112,37,32,"yes"
"95","HB-280",1989,"Herschel Island","HB","280",0.32322911,"Salix richardsonii",1.1,-12.8,-29,-22.3,-32.5,-18.4,-22.3,-11.7,-4.3,7.1,13.1,11.5,0.0717,0.0766,1.10424435227823,18,32,"yes"
"96","HB-280",2002,"Herschel Island","HB","280",0.3314434,"Salix richardsonii",3.3,-9.4,-19.2,-23.5,-22.7,-28.3,-23.3,-17.2,-2.7,5.4,9.2,5.8,0.0399,0.1062,1.19990582866923,31,32,"yes"
"97","HB-280",1987,"Herschel Island","HB","280",0.14631705,"Salix richardsonii",4.2,-9.4,-22.4,-23.3,-25.2,-28.6,-23.2,-20.3,-5.4,7,11.9,9.1,0.0061,0.0962,-0.956027302481173,16,32,"yes"
"98","HB-280",1991,"Herschel Island","HB","280",0.31602557,"Salix richardsonii",1.4,-8.8,-24.6,-28.3,-25.5,-28.3,-25.5,-14.8,0.7,7,7.5,5.1,0.3785,0.1537,1.02035380645606,20,32,"yes"
