SITE,SUBSITE,TRTMT,PLOT,YEAR,SPP,STATUS,TISSUE,X,Y,Hit Order,Abundance,Height
QHI,HE,CTL,1,1999,ERIVAG,LIVE,LEAF,1,1,NA,1,25
QHI,HE,CTL,1,1999,ERIVAG,STANDINGDEAD,LEAF,1,1,NA,2,
QHI,HE,CTL,1,1999,SALPHL,LIVE,LEAF,1,1,NA,1,
QHI,HE,CTL,1,1999,XXXlitter,LITTER,NA,1,1,NA,1,
QHI,HE,CTL,1,1999,SALRET,LIVE,LEAF,1,2,NA,1,2
QHI,HE,CTL,1,1999,THASUB,LIVE,LEAF,1,2,NA,1,
QHI,HE,CTL,1,1999,XXXlitter,LITTER,NA,1,2,NA,1,
QHI,HE,CTL,1,1999,XXXluzula,LIVE,LEAF,1,2,NA,1,
QHI,HE,CTL,1,1999,SALRET,LIVE,LEAF,1,3,NA,1,1.5
QHI,HE,CTL,1,1999,THASUB,LIVE,LEAF,1,3,NA,1,
QHI,HE,CTL,1,1999,XXXothermoss,LIVE,LEAF,1,3,NA,1,
QHI,HE,CTL,1,1999,XXXothermoss,LIVE,LEAF,1,4,NA,1,0
QHI,HE,CTL,1,1999,ERIVAG,LIVE,LEAF,1,5,NA,2,7
QHI,HE,CTL,1,1999,SALRET,LIVE,LEAF,1,5,NA,1,
QHI,HE,CTL,1,1999,XXXlitter,LITTER,NA,1,5,NA,1,
QHI,HE,CTL,1,1999,ERIVAG,LIVE,LEAF,1,6,NA,3,4.5
QHI,HE,CTL,1,1999,ERIVAG,STANDINGDEAD,LEAF,1,6,NA,1,
QHI,HE,CTL,1,1999,XXXlitter,LITTER,NA,1,6,NA,1,
QHI,HE,CTL,1,1999,SALPUL,LIVE,LEAF,1,7,NA,2,6.5
QHI,HE,CTL,1,1999,XXXlitter,LITTER,NA,1,7,NA,1,
QHI,HE,CTL,1,1999,ERIVAG,LIVE,LEAF,1,8,NA,1,16.5
QHI,HE,CTL,1,1999,ERIVAG,STANDINGDEAD,LEAF,1,8,NA,1,
QHI,HE,CTL,1,1999,XXXlitter,LITTER,NA,1,8,NA,1,
QHI,HE,CTL,1,1999,ERIVAG,LIVE,LEAF,1,9,NA,3,5.5
QHI,HE,CTL,1,1999,ERIVAG,STANDINGDEAD,LEAF,1,9,NA,4,
QHI,HE,CTL,1,1999,XXXlitter,LITTER,NA,1,9,NA,1,
QHI,HE,CTL,1,1999,ERIVAG,LIVE,LEAF,1,10,NA,3,7.5
QHI,HE,CTL,1,1999,ERIVAG,STANDINGDEAD,LEAF,1,10,NA,5,
QHI,HE,CTL,1,1999,XXXlitter,LITTER,NA,1,10,NA,1,
QHI,HE,CTL,1,1999,ERIVAG,LIVE,LEAF,2,1,NA,1,9.5
QHI,HE,CTL,1,1999,ERIVAG,STANDINGDEAD,LEAF,2,1,NA,2,
QHI,HE,CTL,1,1999,XXXlitter,LITTER,NA,2,1,NA,1,
QHI,HE,CTL,1,1999,CETCUC,LIVE,LEAF,2,2,NA,1,0
