"Spp","Plot.ID","Year","P1","P2","P3","P4","P5","P6","P7","P1_before","P2_before","P3_before","P4_before","P5_before","P6_before","P7_before"
DRYINT,1,2017,135,186,189,195,210,NA,NA,133,183,186,192,207,NA,NA
DRYINT,2,2017,129,NA,NA,NA,NA,NA,NA,119,NA,NA,NA,NA,NA,NA
DRYINT,3,2017,131,174,177,186,219,NA,NA,129,171,174,183,216,NA,NA
DRYINT,4,2017,129,NA,NA,NA,NA,NA,NA,119,NA,NA,NA,NA,NA,NA
DRYINT,5,2017,129,NA,NA,NA,NA,NA,NA,119,NA,NA,NA,NA,NA,NA
DRYINT,6,2017,135,NA,NA,NA,NA,NA,NA,133,NA,NA,NA,NA,NA,NA
DRYINT,7,2017,131,174,177,186,189,NA,NA,129,171,174,183,186,NA,NA
DRYINT,8,2017,138,NA,186,189,189,NA,NA,137,NA,183,186,186,NA,NA
DRYINT,9,2017,135,NA,NA,NA,NA,NA,NA,133,NA,NA,NA,NA,NA,NA
DRYINT,10,2017,135,NA,177,192,192,NA,NA,133,NA,174,189,189,NA,NA
DRYINT,11,2017,135,NA,NA,NA,NA,NA,NA,133,NA,NA,NA,NA,NA,NA
DRYINT,12,2017,135,NA,NA,NA,NA,NA,NA,133,NA,NA,NA,NA,NA,NA
DRYINT,13,2017,138,NA,NA,NA,NA,NA,NA,137,NA,NA,NA,NA,NA,NA
DRYINT,14,2017,138,186,189,195,198,NA,NA,137,183,186,192,195,NA,NA
DRYINT,15,2017,138,183,186,192,210,NA,NA,137,180,183,189,207,NA,NA
DRYINT,16,2017,138,NA,NA,NA,NA,NA,NA,137,NA,NA,NA,NA,NA,NA
DRYINT,17,2017,138,NA,NA,NA,NA,NA,NA,137,NA,NA,NA,NA,NA,NA
DRYINT,18,2017,138,NA,189,195,213,NA,NA,137,NA,186,192,210,NA,NA
DRYINT,19,2017,135,183,186,192,229,NA,NA,133,180,183,189,228,NA,NA
DRYINT,20,2017,135,174,183,195,198,NA,NA,133,171,180,192,195,NA,NA
ERIVAG,1,2017,141,NA,NA,NA,NA,NA,NA,139,NA,NA,NA,NA,NA,NA
ERIVAG,2,2017,141,141,163,NA,NA,NA,NA,139,139,162,NA,NA,NA,NA
ERIVAG,3,2017,138,138,147,NA,NA,NA,NA,137,137,145,NA,NA,NA,NA
ERIVAG,4,2017,138,NA,NA,NA,NA,NA,NA,137,NA,NA,NA,NA,NA,NA
ERIVAG,5,2017,138,NA,NA,NA,NA,NA,NA,137,NA,NA,NA,NA,NA,NA
